timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,is_anomaly
2024-09-20T22:43:08Z,198.51.100.79,203.0.113.140,50005,8333,7dc124dbcdc29e3445e7a41a6ccca07b05f63e837325668a66239e2d3e2bd18a,3CqxzZiTJomGDA4uKewb7kdD5GkzBRnWdv;1rRfiQvKdDXF8wqTSvvdakGswzVrkWywMn;1c9neBDuXZbwy7AneK6incWKb6K7PspEH4;1i5zfqsTh2Q7LVsYTsxt5RJe9qyreRBcsu;bc1racp929pmfj4vh0ks8t5e52xl6lq7fat5j30tx8,bc1te5r2jufm7k7aa7s463ayjrvy9vcp0r4v44nypy;1JYa71GqvcLx5M1cRFwUooHtwUZCUNeX1D;3wZY1VAAMvUaVM4Tjx4JfLD3Jshaf7JPMR,43.58575305;34.28226939;45.99828684;20.31856122;3.19247838,76.15954139;26.69927745;43.96940661,0.54912343,P2PKH,NZ,AS64972,False
2024-09-21T04:26:21Z,203.0.113.85,203.0.113.78,22987,8333,fde4767cba22d539bf1b21df7fa733485b7809ac35dfedce8e760cc305f6610e,1zBqdmafeZ8pgKbqJ7i3JNYPNjC4n5cBG3,bc1fj6t65s5jnkuyakkn3lwxeu4hdwwsyzjnwnp2w8;3dySbSmBDqSUA6w1vwDdcXCneCF9EgT1we;32TitL3afw97myW1uJDw3DDBtJ7942LU8N,39.97512772,13.73584613;7.40297510;18.70839817,0.12790832,P2TR,IL,AS65466,False
2024-09-30T13:56:38Z,203.0.113.45,192.0.2.115,63785,8333,4336b0787dfa39db962bffda93c6efbb5e31d736c33d49fddd6e896c5d6dee62,1Wxq9Y9t2uEnGp5soQ6X3srTy4yrp9srtN;1mNi1YCquVfDaJ1soTEpd7ikzNh2Dt5arq;bc1f08l8ecg60vvlpfrjzkfnj4yun7cvhzrrj9e77d;1wKUuxEyvKBBvShee12WpJgQtZds3CQiew;1eiTMbpnf5awn1euQZ23cJyrbYUZzcYVUK;bc1ft9hhcjj6quzdhwgxcujya2rflhqkfxafd6ahr4;1HRJU6HQHR66iJvHEbv5UGw9T13WA7GZjN;176qstroyAokeyzEALLsJuVy1N6HMae5nf;3Vmu2cyE6VW39UX9GfQ1x1KvbpruS1D1tS;1EsujW8cq46EUVEe2y5ig8m6EjF1bBptdT;3ELyuftbXdAgRHCEq7Cw6QRTErKaG5TUNP;3qW3JkWYCjoqe5D1aRJ8hF6seigKtKqTrs;3KCQ73e6QSABFaqAm4VC8r88tC2pHjvu1f;bc1ly7h9l8vyw8ecys2g733avvxcwswfgrjhw7rx8j,19M3CJfEqWM6qKTLpR9VSuup8AvPPJQRFj;bc1tdych7ajnlzwveak4zmava5rsvf9frklgcac89q,57.04274008;46.30392286;34.88438962;49.61664779;179.44283087;196.56933852;19.82939096;241.70940469;94.79140996;212.57929908;180.44865431;39.63849040;207.85150052;43.78620279,1309.57286050;280.57516847,14.34619348,P2WPKH,GB,AS64921,True
2024-09-20T19:33:41Z,198.51.100.47,203.0.113.156,53822,8333,e7884ccd924132edd2435378f4fb7d0d2a8c1ad6b87d353f495b4f19729d6a86,bc107nxrxr70znemy36422mgwq933fcqq6u5uf3pp4;1H2pTWmNsAwKQ21RWJiuvy2ABEn2crFBQr,3Yxbore4oauJubt5CTHHvQGDd2ZuXastVt;3kK5SwK46ygfkeFviaNbmrdK2bAeH5Jiyi;1wefARddKnstQTze2zkWFX9rsYPHX2PKcP;bc1pq9wfe9qcmh3p9dk4w4qhvml5ukdet9lglzddkq;1YQPuUEg4RSPrM6viHQsn2W2i276iZaFjh,13.73600825;14.26843359,7.70443875;4.09563832;2.26636580;8.26165148;5.61494611,0.06140138,P2WPKH,NO,AS64943,False
2024-09-27T16:16:23Z,192.0.2.91,198.51.100.25,46288,8333,1e6b4b346e2eda2e1dcc20ceba785b26bbbdf4a76c433399c74c4030e88a0da3,bc1u5s5a2shqm6yxlxgqmjjfmn76vkmugr6rnqn5lm;32hfnrkyrnoaiyYwjTfZ7dePVcDWM4fpEB;3PBR1Q9JJG9FKwBHoeymHCGVDRm6j4Wwy8;bc1lcq7w02pqug6wzxh7u9yppflrz55jpxr9upxc28;1xxToQfpeuuLKrLTAVBdMg2VgjMnAUt4MA,bc1egs6jerkh0g7c2ravugcczdxm0zsafgsg5c5tnu;34Qud4KgMAyCGFgTgzcmciEuysaPjmvfJj;3quLvzBMwqoqE73UT6muat68eHsdD2FLwc,29.56988520;12.35100888;32.75338550;43.99914313;10.52566652,29.10389822;77.47638355;22.07076010,0.54804737,P2WPKH,IL,AS64753,False
2024-09-09T07:09:14Z,203.0.113.135,203.0.113.146,28886,8080,65263250503cb4298d4bff1b1a67e105e753710520d24deaf1ee0fdde7bd6af8,bc10wgdqe4c9vepths2l35cr3zqguh3dunhluh0y2m;1PAWsaeHc5ynJkWZHZAwZEhjoWAju2DU1S;1u5reiwKJCVuJi7L3eXSsbkEvVigPxT8du;bc1tttcy682r3wjkyrsdp8dzt4cadrccdffgtf7dpe;3qgJCdkPwvxux19mCS1LKdH5fATm6xmY5F;3c7QjqiPRbroMPSrTWtJTefb11VnYxoN37;bc1460pa43wl0723zrptn9rrefsau36zul9pgc5pna;3me9nRQQNWV39b5DPyHDDXGFb18Yt2A62v;bc107nxrxr70znemy36422mgwq933fcqq6u5uf3pp4;1W7bHcd13mPhVCxfRMhsHP75vJPh5wdEjd;bc1tmy0evq98tlgm7u5tg2plpuu7epjreevy0u5lnl;1rDFTfybibf3JM1yXNFEYusrj6KjiBdTjL;3WSCrtRiP4qF6MCVoc5t6fogNgBkwYwwn1;bc18ajp2gpz4gt9t2rgh2gdwkemrnkaprtp8f07fam;1FhsH5G1duvgLEWQzhi5pucWxbWCiyoUjQ;3DhepGDFjByj3XT7VRcanDiwHQ7tkkjF4V;1nSFcsXecZPRJ8cpRDGukAugcRATbM8zMv;bc13vgcryr9ts94au0qqemqm73k7q4jrkqz3200ckn;bc1h0anjj027h8a5evf9sugwq9yferhq7fpryhtc0j;bc1kefc4h3qcysx7pya8fwdxd6p5qzsf6p6ktfnx0t;1WBuVQpQzAiqmuAz8PXYjR9Gm1axDYyCzn;bc13v2qf34efpjk0qh7dtma83j6x3l8hsrnwhqya6d;bc1p3k8mgj7yc7rdpew6h62rw04kkrfrmn5d5ylngu;bc1kygyjfy2g4d5p4vwg3wvrn0g8dzedckcdtpepjt;bc1n2p7j6e5aexaxl7ppa2gmdg395k72m3x39xj0fr;bc150hcc53uczgljg8qk5flyza7a09tq3m2zn0s9r5;1J4hvYnFhSVdTxwjNKHVBQjyyyQTQ4a3KV;1ywvte4sisKXZXTDrMVfeVyzMZtborET6T;bc17sv463pk9z68dfqp27qu5t3q4095sxdndv49hmx;bc16grvrvs5h0valkryn2aj6pq43fc0de6vwptjexu;bc1kvdy4dunw5q46r3kecur9du0g559z98chknvpt2;3sHmMD3nkFCqaCV2XNpMK6QybwGboX56xC;bc1edzrcc56044w6qva50jvrkxd5y8qwgwsxy3lagr;1PXf1QfbdXJfXzoV5RNeMdYfQ2YmxJ3oMh;1tGcDQwiJ92Ufr2d36jR7enFXtWSCNk8hL;1vtSGRYBHUy4mGVJjdApULef8LweooE7oG;3VPn8PKscbvdeuca9gE7fwTyWL2hHKxD9R;3pZhDAbQ5RZ5YgNLyAC5jLqxYbwTNVpY3k;bc1870ruewqudqhfg7yztp2luepq9up8zs2xcp458x;bc1rkapwp3dc5f3hq5p4eq0dhjvgtncyesvda374da;1vtSGRYBHUy4mGVJjdApULef8LweooE7oG;3NmMwDiaxGmSENkCWvGeipuhMgMNdHYeEr;1v6EeyAarWrUEKdY5Yx3XCHETtBatfRyxM;1FdrrpoFkQHb41h3SVcDkhTnHZd4X7TpZz;3mJzHqjswZ9ene81iUnZpagBnQijAmQXXQ;bc1smt6vmmhawkvg93z6na57wwmz3hhlew8wn5a82y;3eUdGL4fEsTKV3DCL5V4GGhw1w2ACvWfc9,1SBgcVsNrsk9QVsbe5RwKbArvihvceEqAe;3sqBTmWKa8cWv3BpqZPALX1EHkrU9Bhj4i;bc16027j89h03vtk935e45xlwp2asefet505hf2l60,140.23231953;65.15561812;93.84517748;26.01492904;246.47635991;106.22268858;95.35041667;150.08979395;212.52016942;14.32150556;34.02984353;156.65455769;238.16372837;186.39270438;248.76897639;105.69254192;57.54267948;173.03436666;225.30241982;241.54962415;36.82542228;173.64426767;112.83084835;16.75747983;129.48860227;37.77846450;198.39846862;26.41856037;93.19488576;76.91788670;114.56570826;192.42613663;116.82554355;136.51937728;192.94149640;54.85665015;175.36753957;60.35314276;136.07316290;221.38840140;167.08124273;181.66559878;73.42293175;18.12950605;40.48683589;210.89507311;104.65382494,2103.59127798;1399.56764582;2407.85195403,6.25660133,P2SH,IN,AS65157,True
2024-09-19T19:23:24Z,192.0.2.168,198.51.100.161,49256,11750,130f5895a1ce90426af634692845490e5eca6f3c44c85af9eb16312d9010851d,3PH5Af1vuRphEeN2FxYKQJfhYt8hc7PNc9;3D4UkmZhuqmHjboYELgfBGhtnhAcHcurBw,bc1lks4wr8km5lxsdnkj5guuwfh8sddkuhknl9xwdq;bc17xs8qg33wgjg66l2dafenzzqrn6sh6l20ajes9w;1zDeCudnZCutCgWaNt3TvUQ55y8HZQ3NQZ;1c9neBDuXZbwy7AneK6incWKb6K7PspEH4,0.42485402;39.96882208,10.07566429;3.81229925;13.05201638;13.36932565,0.08437053,P2TR,RU,AS64688,False
2024-09-21T08:41:15Z,203.0.113.208,192.0.2.133,25009,8333,4b62de383aec3064e4431751bda04eda0e816d898da1ec24c57fd1a667ccad06,3KaEvFSEKtySJ47XVNDD6JFQHmx3gqNrfg;3G9rPp4iFfv89eU6h3dsuUuwz7geLAPKcw;bc1ncgjepgs0fz2p7a6c8djmx55z02dxqysrcvwkj2;3U3f2yWXAS7AaXcTkZJ9wwkEyqYZPhvcoL;3u4yUFp8KdGybSTkWck8bAAofu8pqARMbJ,3JHGyU12StnRsNKSKCKd3LC9szx3FDfS6H,6.09736267;2.45406946;12.10154530;13.80296501;18.97331791,53.29568638,0.13357398,P2WPKH,DE,AS65513,False
2024-09-14T08:51:46Z,192.0.2.7,192.0.2.163,41948,8333,b4f506142e4af252d10db9f9f87d911256675b0e3fa9c0bae7f8f7816f96cbd3,bc10jxs8upu6fpvsgf3uuzqdwxscu6k9rlmwc0lhxg,3BcDbJfPtF1zyTDsZvio2E3LHhF3fWazGs;bc1khvm3fftj3ps95lrarhzhkxxtgg3lvesgdqdwzn,24.50131322,10.58051952;13.89427249,0.02652121,P2SH,KR,AS64517,False
2024-09-30T20:44:35Z,192.0.2.203,192.0.2.24,33573,8333,6d917929ff1ea4a7ac3669d088d05517ad8223560d064cb02725e1964c11c0cb,bc1hd0jluqt0hyqec7cmn28hlyvhrzdpuc78ul28pc;bc1drd2ul6ss22m5dhl3j3z08p7m5c840s6658lxr5,bc1guvlaa3d542ym6ek6eqq77kyszpaa0367xvjq06,16.87891947;38.02465386,54.85353406,0.05003928,P2WPKH,RU,AS64793,False
