timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2024-09-23T00:05:53Z,203.0.113.124,198.51.100.113,24004,24133,77cb817880d97102a279e5c99a59ff36028d274d4b3d9046e6c40bf513e95fca,1qgqoBzjyeePa2RyE2kMccphRhKBGARKbr;3mb9B1RTgvb5G6jQTVu1VYqrKUN2LsaAxH,bc1p8tas8d32nj2y0q2cadwqmjw6pfhvsctxgy7am6,34.15782870;4.16008153,38.16884513,0.1490651,P2WPKH,NZ,AS65464
2024-09-21T22:45:58Z,203.0.113.13,198.51.100.37,39730,8333,8a13e6ce131b710a5d992f38137278d2dd89fa5af4ee20c18083c21651d3ec02,bc1vzy0zwfj47jv7mked27wjduxx0lmrstrs3scd56;1nubzDUKPh7RamoQvEr2466yWeNezFCb6q;3ZyE2ZvSotWw1Bb8CsgwiMCN6rPDyxyqc4;3h71vdWhffZDira7EqLkgaUvXsEMr66c9f;bc1n5cvulph5ppu4f2w04anv7q0dzc5lt0czx7jy3h,1QCyP8JGnrCTqeNReqDH3QjmZK6qZaMsKU;3NToYrdTQhYm9ERoDurYbcgCsMQU6i1Mun;1ciyhEnZyvj47rBm1hbgfRQdYL4H5ecY4r;bc1tedqhgwn82n0hr0ghm689q8s88ap6gndwdj88m5;1JpLcG7TfUCGRNS1LcjKfo14FcajSsjTXM,21.40541334;2.50963883;17.13936729;28.34031554;11.08468155,20.66917426;17.37042903;15.29328889;8.14438451;18.68750599,0.31463386,P2WSH,SE,AS64540
2024-09-15T11:29:35Z,192.0.2.7,203.0.113.112,43953,61253,f997062e9297e600f9ba2839cf64357d7bbcf84779bedf1563ff490fabaf649d,3mpYtbC1vygpitRWaDEDqubwaVEd3mDRvD,3w48RugahBhFS27dzXRVDYRBw2TxAkcbhd;3sa6yB1azg2qGhzWomohPJ2Ur15BX79i7C,24.8429348,14.72326817;10.09806129,0.02160534,P2WPKH,FR,AS64876
2024-09-22T11:20:22Z,203.0.113.155,192.0.2.232,22826,8333,d8cf6148f40d76662928e08aa62f816ef482214eee3a132d746d42b70e21afcb,13VJKZHDzBpLdc6THSFVHmHGewJ3yBEmip;bc1ekezsjfed9gayym6ukg6h92d8cqqxgncz4ksd3t;bc1zst06dgs6e87u0huzqp2apcytlxcsj2mdlzty7l,bc19el4erjrj3zmk8lj7eruducuphzqf2pu7ut02k2,12.79707959;11.74878051;0.95605776,25.39470027,0.10721759,P2WPKH,IL,AS65436
2024-09-19T00:39:48Z,192.0.2.135,198.51.100.123,26591,8333,dfb42ea127c8182c4ca52786b325a3b0540a30b83b1a5a7b37230d7ca3ee4c7c,bc1z9ug5nvg38kcs9ly66uvwpad25an7lxwd22eh8n;bc1f9sc2savmzdmaysl5z6qyq83d0wnnhnlyx0ltn2;bc184xkht9xvwtpu2rxqguf4lrmqpxn9ms6m80auzv,bc19hur3j8m0dgygrrhjjejkwkhy0ycy6ar0au3h2x,13.99605883;5.30254862;18.65648376,37.90936353,0.04572767,P2WSH,FR,AS65393
2024-09-11T05:31:40Z,192.0.2.25,203.0.113.134,44893,9050,d89ff8454b529236d044f099ab06378e9b036388f6d00b25bcf225d362a36e21,3PCmfxJz3dnMWGa3v3iyaQjxSj9tC2AWdr;1Qmw7bxkpFBf1sYnFqAnmKheC8fccU6cPR;bc1xu0z94dgmdfffrz5x33vy0tsxgr06yefs63d6kv,1v3su8TYyKrpuo3jSqkxWhzXxn9yV5zWpV;345b7VgEMqdLdp594VjA9wFeh1C6Cdb4Jb;1hhgzg3Nvv3T8eWDDk6na2EvRAv3jttcfU;1xaU4yi5Uti8MGqf8RJGN8aFwDtFaaQt6B;3eRP9bsNcNm1qPB4ZgSKMGAcYpZ2ZPywGH;1oSsJBRVK7FfGzETt1BCqm9yTUSWN4m2d6;bc1dqd29k9mempfupvqfksry3udst0eu89cqawyuv0;1TiJC3dXCKijDQo6AJC2YejN1qN5dASBu5;39XEWrPxKjN6WGfqxfydrdmN274F7N6jZq;3cTaS262R8vYxq7M5u6pH33ECeRpaMK7sr;bc1vm3qgezgr9rzeh7uzmh44lq0c4jz53rj3nw5fn8;3hpF9KpANBBPrFavNMnokunE62yRL7SvGS;1k5o5cYDiQMKMTAeMkzT39TQPbeBGVkoCB;396CWMj1THtBVZzhF3XyUE5jAsqSRWTPZC;bc1784y4p5e80qtzltu8d38fchnrsj9jxzgvff0np0;bc1m7gr8mtcxexl2cua8dkr92vgw7flcssusn2xgt9;3FuuzaXEqSz7a48sX9hf9ozSzBYNnfwdDp;14aAHDBuip3z7NfZmLRDBCVcVqofkJckJq;bc17jfvr0qug6x26nmpyv4peprs4znf82g03arahxq;13yNc4J8pZPgAVH6xmKKqQD32Mcb2N7bQ2;3ZAPrS7zRRVmEKcYMWNnA6KUwUqSLhv8Pw;34Sp6yDToSKBPG82ixohePb2L1muCodXcD;3F9vMfdvgsJ7qvuHfu89Jee5b7LQPSnPQy;3RW2EjNMvLBfd4yqQvKn4w3Hivtrp8MGN7;bc1q8tqfzny708lsh285zdp3a0tam7cmv8j82dhdg0;1dBqbBNMn46HTPnQFanU6JKqUJTCSh4NPB;1FX8fN1o4WihgmfFxn5rbQMREbW9bys2Kq;3CxjoUu9gJMpyC2sb4tL6NCDbMWxKSTSKb;1atwnFSQP1Dydp7shjm1JoGP187scjA65L;3izxc95VW2jSZXz56xVYjNmW51GdM7unRP;1gnYCGsHAz35EGw6xhFLCoKXat4xcgoEhx;bc1dxhaq62pmmapxzfs765mtp25ve5yx7p98v4ptq2;1UMYjBgXMaw8chD7DRk1UTb3uBpdecJvwz;bc1sctsfrng2f2cck7778gz3j5m32quk5tmax97q7r;32FWv4fLJSraZCcWbUsThxom985QUNNrFX;1Cp3TkYF9kY8G9PjcZr8S9ZjhrvzzQdSHE,71.53932355;148.76387471;217.89281713,17.67796992;2.29470138;5.23140911;17.88347002;19.14857900;16.31290631;12.34650717;18.39751600;2.38065808;16.78995283;12.99827391;7.44273412;19.12664867;9.93387755;2.41946839;18.42986722;15.67802576;16.57874597;14.16024155;15.05496753;9.98083478;16.63737637;15.36096453;14.33598163;18.47008652;18.35940254;3.99470236;9.73671942;3.34785059;2.77530477;7.68979936;2.51348393;18.17246570;10.44260222;18.32928170;5.43942040,2.32321808,P2WPKH,NZ,AS64640
2024-09-25T13:41:59Z,192.0.2.133,192.0.2.132,45790,8333,0be10f3b5c55d78288df55e3c4c287b7bb4a9620fbb306f2b34aeafe5649d614,bc1rhwwdqpqz82frr3kvh6w3elmqn30wnksep6rrlw;bc10q8sluj33jmxdvjarqelnjlgdmfmhdq04qqfwd4;bc1twsjww2x78nq2ctccx3syap967uwluxu5gaj9u2,1MCxukDDi2sPdQgqcJk9C6AaAs4wuThFMd;3431Mvg89MdS1wuvb9KVh2AWVhXCCKbAUR;111eGCxSiPzgzKuaU3QXeUX9D36DbyXEH6;bc1kwmgz86uddvr842gfqfmn3xje3srjgmmrwj8slj;1RXiBDwvr9tgSnAZGGhc5mFwvMAfroSarE,23.98036048;17.08930668;24.59345000,15.37439970;13.88186517;22.21015191;5.92006018;8.17128292,0.10535728,P2SH,AU,AS64855
2024-09-25T13:41:40Z,198.51.100.193,192.0.2.157,48833,8333,10f56016165fd14a1e24379b74da1ba5a5c0a70127109eabb072fb54dfeb890c,bc1h7l5gsm7m0sjmpnh6r2gkavkfvdxd0znd9dyx7y;341VUSeSnGKA7A788XLTJJ2uMu6V8kh6fU,bc1wgyhn4fy0qpnsx2hg6c900ht90t4preej8vs79j;18rPyesm8cboWByWVAKKcx3LCL7reuTHhK;1KQfVESB7BvaE3NeqKn2kHFD8onrEXxX2a,32.05875670;41.36715622,32.23423054;19.45670806;21.60541927,0.12955506,P2WPKH,IT,AS65108
2024-09-08T05:13:48Z,192.0.2.51,192.0.2.247,47780,8333,094d27514d0193eb0ec21f95a303b7f3753ba4d0d81574990fc7fad57619fab2,1RikVcnujtUbBvEfuSRLRyKeUYVrU6LVA3;3m6ivW2F3LvsGRc9G3rQdZmsJAWdoGUJB5;3HVgqGUtJdc2ANRWgKwLh7nR3GaaXqDf4k;1vtrGE2W9Rv3uEsGtQdMWAZ4BA7SoMFtED;15L8AQG5CfPtHWXN3Mv2JbXSND6HA1TTLY,3JiRg75KxVUTqVosuK3HXYtPJFMY8cG9mG;3HbfUydFC4s4bfsor5PSEc4WJkGELoZEF1;3L5fj5345SbHtY1cxheAnBCCA3PQ4HX7ct;1UCrMRfWzuNhUPZtJMZxaBA8rypwVoCVQy,31.45756121;18.55327949;11.35293277;40.17358112;33.50438766,16.15415639;52.12953780;39.51721952;27.01032149,0.23050703,P2WPKH,RU,AS64764
2024-09-30T19:53:19Z,198.51.100.41,192.0.2.28,17602,8333,57032a042bac8245fb23abe2445837ed7e88a74f317774fb3c21f25171c00b5b,1r5ar2UX5t9yRZnuwQ5Z3wFYoeVjojNZKH;bc1fjnn7ex7gvs83jg3pc8rk85tedel6zqku6d8jrj,bc1em0qjdes9gvjtpfngquerpqhde2a78q3vdxft94;3V3yob6oqdptn5jgz9bD1RHUQW3FH6Hvxo;3jGRntcHNoVKj5ZrtWY9sEH6jgc8xFJeG3,37.56048667;19.05621278,41.91550371;8.86080329;5.77333597,0.06705648,P2WPKH,PL,AS65146
