timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2024-09-30T13:27:06Z,198.51.100.36,192.0.2.197,17152,6667,201ed9a76014002f267151120038892ebb846ba900a1e7bd4f15d75a920c3816,1tX5vLH4PM25pVFG9vrtjit95Pf7VeeR1w;3uCfuvQWnBi9T9rn3dq24PiwMdA8XP713J;3fm9kuKCnbPKetwnhFSn1ahLBjsGbcGoEY;1PPN64WiAoqY35eLzM7xhm9rswrLZn3Udq;38wUCSxPfCbuAbJpcjgMRvQ4FA2D8Xs1KP;bc15p0sglws7t0xnnr62ffxg4gej6pvq4wxwqp9yfa;3BD8JfkmZenFSnYgFKFruLSn1VvYT5CWYT;1jcn7DwTjCzn7TktXJDUgaimRHdpNVG8v6;bc1xr6dk458yk6tqquk86pp0e6en75ff3szf30u8hv;bc1nms9k60n6ndezwzwyn9c0ve6se4v3gqqdnpfp7r;bc10g4zpl8u7yklpy8zp0vpp4nmzazzxnuc6pfnyyh;1b5K2EP4YRaodZNkn9MLwJgx5jEQGmDy7a;3dRaz5aEreELe6cQA9jCQwkDMvUR6nX1Rk;3KkAPQohoBArfmcjRRoRL7pmhKRdXg1qed;13ShG9zQZLR9JbgrGRt7iubSQVzFCLP3zR;3b6AHYkGQCfUQ9Pv27JxFs1oewjJJrknU1;bc1rpt853lnqujkyejrayd57cusqedwusy54fvnu8v;14JqmyFXpT3EPKpwYrQ6J9tRksPAJ3tdc2;3HKGyrDmWiPbryUV1fsJEZVd4xyinUNDGP,1BQdpQPxdNKdQShzyV5TkaNrAVt6ZPUjuL,201.58427431;194.73543660;195.66736375;174.49450838;206.68769564;168.06119007;249.74646988;137.43660520;154.85439714;111.89032608;106.49889691;124.07303837;178.81141170;221.07653939;215.54990417;186.47486820;130.84708052;204.18109700;180.50051396,3322.676446,20.49517105,P2TR,FI,AS65433
2024-09-01T11:48:49Z,192.0.2.154,198.51.100.247,22807,8333,73e14fe059878a33e92c435b31d801f6c40957ce0ec7227dff524ed0011b628d,bc1vmp4xnenw24hx93vx3kfxlzl5l3urqdkteeu3j2,bc1fxfyvkjm2jljredzc62xr4nyd3kag6gle5qzcxy,13.54354381,13.52263541,0.0209084,P2TR,NZ,AS65084
2024-09-16T06:41:41Z,192.0.2.246,203.0.113.106,14018,58535,1b30be3cf442328b0caae3ac419e4c8d4268e1fa1c5b4129f386993b6ac8fde8,1nRKBkwDrRX8GRryP9cmX81acNexZyPDdm;3cty2KtfAHPNe3fsp99R5th4VtuavNRMzo,bc125rkq0xleapljjp0gl9nva7cmpjauhd77jqegm7,37.41502366;23.81036164,61.17930975,0.04607554,P2PKH,FR,AS65171
2024-09-01T20:56:38Z,192.0.2.44,192.0.2.229,13072,8333,2155d09166c99be75d3273b739d62ca36185ab68d9cd66d05c23ffed0501bef7,bc1uvkhu8dqszrfukxq543e4ct6r2awetww3dfp9d2;1MMigyg2WE8b3KktBd1c27ubcmTJrPRej3;3g2aveDtTM5cAW5KYPWvLMn27Ay9ecA9ry;3QNwcL61sZeHDHnLrtW3ArvsHVLs1WeSgc;3KYho7fXK6bvTAZQ6WRuAZ4T3BiRqQ6Vop,1iqEvcx9fyKiWEieKbsRhcLi96x6v9rwGu;3SRP4uxBvNvSoRYbzBw5Uixytu7sRKsEKN;bc19gj3gx8rqs9wtgw269yevrvhkksmftkn82gtna3,41.34305463;2.86952850;34.74921265;43.66199938;5.69920349,41.96588453;30.04738174;55.94470496,0.36502743,P2PKH,AE,AS64916
2024-09-05T09:21:22Z,192.0.2.173,203.0.113.64,20690,8333,9b2aa756ede4fd8a391b8da939275ffbcd8d2b557be317209ae92fb8d4a421f0,3wVT1e2DofkyDjmjdRiBAkB3xktjAxy8oS,3SpiMwXxMmbDEaX1qFh98abebVTBQN35gy,24.05227839,23.94560691,0.10667148,P2SH,SA,AS64545
2024-09-14T07:54:30Z,192.0.2.40,198.51.100.131,38628,8333,02de1b7a6ab68c6b53f3a8874a1199375a0db71c810684ec59af5ecf034137a8,bc1cwu5ufty27mz86keurhpdf5x3fw2qwqdlajafzm;3UjtHUJNFmyRKNVUvE7yoAohjUvRArHUJC;3TMA7r4oc2LUo61Pm9NroFvHL43hwj6aeD;3M8SsYu6qKDGxhC6E6fRqUWfYd26T4HAa8;bc1urah0r6usr76qc6ua9du4dt9mw7z94ny4ll7c5l,1gpgW5FL6d6kMrxbJ4F9A9UhBAKhURYGn3;1dhUsLdKN4YqupxvHmpXSTxD8noviaNGs9;bc14974p0hmmjz7sp2ufxjn7u06xe0grtgry6tj37z;3QFK8Qdz2UbN1gEAuWJFTNyQMcxd1BYSef,28.21744400;37.07712875;23.92650734;9.42935569;37.79143090,33.75153118;48.43192599;28.63311304;25.37694589,0.24835058,P2TR,KR,AS65471
2024-09-11T23:40:25Z,192.0.2.254,203.0.113.216,46558,8333,1aac70fd2b9115379fe4f6b27b11115c41bcd97e6fecd75ef77107e7e50b0e21,bc1kn33r77q2kckhgf6evfkmrtj5p794eucqhaqrv8,1BQpnn4dFjD3h7ehY9mLbdkouebSZyQ26P;bc1zr2cpu685vr4tzgl00fdp2zzqseh2a26najenpy;bc17xr4axw4h4wx9rzzgdulz8takh0du80ed0xv2yk;1gBNsLTf9AZe2de58tLSQxbxgd5MQG7S6J;bc1rp2q68w9ng28xg4p4qdmd2v8lxklh7gr958m6z6,7.21997667,1.55911691;1.31446712;1.40458594;1.61744427;1.29830910,0.02605333,P2PKH,AE,AS64706
2024-09-10T02:23:11Z,192.0.2.150,198.51.100.5,33587,8333,849045224621f417a7dd5dd03504d55c62eeab2b8ff792f5457213ea4cfc00a5,34BCAHWXYa8fSHwaPxXqm4bajmETTTesEG;1zSUosg6ZVzu8o43KWCWvP7DmtnMNTwqZD;bc1hfjcu3fqyx5d8kthu304gmqeyldh6qzqemcu02c;bc1m9n6eyx4msyh5ztr7s7ccw7m486u3w95kxtjwpq;3H8mGTAud82gf8u6mSfdmcWMHwaBwCNxRE,3E3Z5eVzFQfjN1Zbd51681HHdeidtEsZVZ;1h9zrzW2hv6UDafvWoMsER5LnYsEBtesCN,22.05568494;1.51918515;44.47269886;25.61795630;7.94036330,72.07190884;29.37500587,0.15897384,P2TR,RU,AS64595
2024-09-28T17:35:59Z,203.0.113.126,192.0.2.51,4480,8333,a2748a99f68be261ab2fab3bb67c536726f53cba38ef824d3384ee8460de9702,3JLFfdVvz9mk6ZbTvb63fPhGVV9HbWHP8K;bc16l89just7ymk75qh9g6g2zzqt0wm72tzac4jwp2;bc1l4pwlgwhfpaswrly4f0n00y08ktxjj8t0sdvgrw,bc1ayw7stlt2quqc2s3z3qa0p056klqhqvpsvf8trl;33uzAzKxCEnFgJjk2tVbcVCgMXL9saJ9mN,29.00153384;14.59493213;14.48543363,23.27190452;34.71977407,0.09022101,P2WSH,ES,AS65038
2024-09-03T16:08:51Z,203.0.113.4,198.51.100.247,62141,9050,31f1a8057b8ce047c0a9f9c5dd17a52ee8663cdf389bf3b7695c39fae9a893d6,1cGs4pihQFXkBvHXQZQ2NT2zn3PPjM6Mry,1oyniJg9MZgNX6CUbEG5if3TTUsytNKG1h;bc1j8d6ecwxqkpe5lns5nudc8lv35a9q256p3lq44u;1xTZcAKXXGu3We3ya9dDmZu894Rru2NHt2;bc1vmp4xnenw24hx93vx3kfxlzl5l3urqdkteeu3j2;bc138stm2g2ysudcumumc36ylphxskzj6z0r62wfmp;3TAKKGToxaBExFKU8693VtR6HPzEkdy4Wb;3iqrmXcRSb9cVFGopnsS5b4suvNgGK2i5f;31QTG8sAnRU6sPMA1JsjZZepEc3tzVdN9M;15pixMMYDfQkuKGTudpDvj46HrKZ1g8VmN;1ZP1gCJ3Z5H388mqbYKJaGDfNqHdHKYYJ3;3WoK1fZq7o6zY8ENEf2c3s67RDgPK571aw;3XCvmot756QEtBe2jCQTf26dEWJkcacCfJ;bc1auw355dqathuq8jucjtegmwswfxmtc5xgacv5pq;bc19pk0pda0y6q74t9y2rx5ymdusq46pagrc76s83u;3Uw1W3XXYWcVHKqGktFgeVHHBdRQBeJya8;3Ls6FVE5KmsLv5s7hGY6qfjwziNzCofWEh;bc1u8g9c8gfskwwmpwye9ywnfl39smp0z7ury0evyu;1hjXhFG2Jea1MSZciAPav8kyYxeNY4cGKz;3D9UaxeXNbqKxu1srTnF3FwYHnTTwVocRL;3Z4y17XvRntjZDWoftojity3BwiK12FsbC;1XWpWywrKFYK1K1N9pixsygrXwraFiREdH;bc1l7mr0a7ydf3379yhgrc3qe4kxf5u8dl6l0wjzdf;bc1452wz7lsved56qwe3mzxm0ks03jd3jm5rg8t79m;1WbCsfb324bkeVRjRUd3fVkwxoaKBm9cjf;bc15p0sglws7t0xnnr62ffxg4gej6pvq4wxwqp9yfa;bc1mul2tv8jmptxaqex6s80tdf53enkmte6gjdzknr;1fouUd3tx3kk1mTjepuj8v54KFpXrekjx2;1Xruwiah3BPgcVnAR6xP9c5b3mAx759WL3;3DyvALJtTv6H7LeoSmzF3GEkb52WKfjHBN;bc1u2vqsj924g7el774j3tj8sxse04hk7e5wjhpcmq;3SD4Lr2EUwkbArqTE82Q6kJd1AgEpHDS56;332RYkuq1guVjU4tjqD3Xwuy3ntFNtEy2n;34Wjf8DoY2SKFCdaAvePkh3EQJw942J7X7;1Rjv5whZw6rNAiCP4XFj1hwecVJGKTyNQd;1BQdpQPxdNKdQShzyV5TkaNrAVt6ZPUjuL;bc1a7zc749r5azh3kp8pp24ek2drnkkn03jgyu7kz9;1DZKm36W16at7cWNhz8sUvYt2qBtfcKWyb;35ti5BPKYzhZiBNmpbNUbAPXVoPPeq8uLd;1vLdjwinCcDXrAQkT2DqDnbCGg9MBLcXyv;bc1twu4wc0v4r7z6qu2h3qa2dny95yrgmefmcvf58l;1uXLedrgThdtX2ykZWYYXKtbJ2oXGkFxFj;3ttaJLrMqbnVjfPaJbWwBhGCBXmdF32KpT;3txvMzDKmA6fwqLGsBiezAUp4eQ2WdXGDo;11BSEuAYV3kTKyV4HQcRBJTTTXpXbzt7D4;bc16hwnqvua93ynndfjng55c5jtf8u09a5lja02tqv;3bohquSXKstRsUocMLy9Z1tJM8AqJ9ySnh;1yopb7vTzo6Xh1nJdukYJqBxaYYojEkoWq;1dKcVxVe9SN3izZ8wwBAgoVdYKJrtkcXGD;bc1xmc36unxt4j0xhy9pwy3wmpluazhymg3tngv85n,63.47348806,1.68500263;1.03743294;0.26454098;1.16482114;0.69342223;0.68946708;1.57038115;1.59203443;1.26753378;0.51222256;1.92399912;0.26206268;1.71514526;1.61995518;0.43241419;2.03110850;1.25432002;1.24218437;2.05382117;1.19815539;1.59479972;1.36551970;1.27772279;0.26490866;1.31006242;2.08512934;1.24025417;0.80670559;1.37603378;1.96154432;1.82865546;1.89712821;0.54148408;1.49070916;1.82743857;0.30347470;1.71883276;0.46221562;1.50793619;1.57302648;1.13922436;0.50705840;0.59811852;2.09478166;1.93581081;1.64387115;1.42634788;1.08630543;2.02542103,0.3729423,P2PKH,DK,AS65516
